"Subscription","ResourceGroup","ContaAI","Kind","Localizacao","DeploymentNome","ModeloNome","ModeloVersao","ModeloFormato","SkuNome","SkuCapacidade","ProvisioningState","ScaleType","RateLimitTPM"
"PLANAPP-nprd-sub001","pla-we-nprd-gsees-rg001","pla-sc-nprd-gsees-aoai001","OpenAI","swedencentral","gpt-5.4-mini","gpt-5.4-mini","2026-03-17","OpenAI","GlobalStandard","1000","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","pla-we-nprd-gsees-rg001","pla-sc-nprd-gsees-aoai001","OpenAI","swedencentral","gpt-5.4","gpt-5.4","2026-03-05","OpenAI","GlobalStandard","500","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","o3-mini","o3-mini","2025-01-31","OpenAI","GlobalStandard","250","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","o1","o1","2024-12-17","OpenAI","GlobalStandard","250","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","text-embedding-3-large","text-embedding-3-large","1","OpenAI","Standard","1000","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-4o","gpt-4o","2024-11-20","OpenAI","GlobalStandard","250","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-4o-mini","gpt-4o-mini","2024-07-18","OpenAI","GlobalStandard","40965","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-4.5-preview","gpt-4.5-preview","2025-02-27","OpenAI","GlobalStandard","50","Disabled","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","text-embedding-3-small","text-embedding-3-small","1","OpenAI","GlobalStandard","10000","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-4.1","gpt-4.1","2025-04-14","OpenAI","GlobalStandard","1155","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","o4-mini","o4-mini","2025-04-16","OpenAI","GlobalStandard","2073","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-4o-transcribe","gpt-4o-transcribe","2025-03-20","OpenAI","GlobalStandard","100","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","whisper","whisper","001","OpenAI","Standard","3","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","o3-pro","o3-pro","2025-06-10","OpenAI","GlobalStandard","240","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","o3","o3","2025-04-16","OpenAI","DataZoneStandard","250","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-4.1-2","gpt-4.1","2025-04-14","OpenAI","DataZoneStandard","1016","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-5","gpt-5","2025-08-07","OpenAI","DataZoneStandard","2317","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-5-mini","gpt-5-mini","2025-08-07","OpenAI","DataZoneStandard","2727","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-5-nano","gpt-5-nano","2025-08-07","OpenAI","DataZoneStandard","12759","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-5-codex","gpt-5-codex","2025-09-15","OpenAI","GlobalStandard","250","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-5-chat","gpt-5-chat","2025-10-03","OpenAI","GlobalStandard","4199","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-5.1-codex","gpt-5.1-codex","2025-11-13","OpenAI","GlobalStandard","250","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-5.1-eu","gpt-5.1","2025-11-13","OpenAI","DataZoneStandard","1410","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-5.1-codex-max-global","gpt-5.1-codex-max","2025-12-04","OpenAI","GlobalStandard","2558","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-5.2--non-eu","gpt-5.2","2025-12-11","OpenAI","GlobalStandard","4042","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-5.2-global","gpt-5.2","2025-12-11","OpenAI","GlobalStandard","3574","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-4o-transcribe-diarize","gpt-4o-transcribe-diarize","2025-10-15","OpenAI","GlobalStandard","100","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-5.4-noneu","gpt-5.4","2026-03-05","OpenAI","GlobalStandard","7769","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-5.4-mini-noneu","gpt-5.4-mini","2026-03-17","OpenAI","GlobalStandard","1338","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nrpd-001","OpenAI","swedencentral","gpt-5.4-nano-global","gpt-5.4-nano","2026-03-17","OpenAI","GlobalStandard","6686","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","henri-m8e841o1-swedencentral","AIServices","swedencentral","DeepSeek-V3","DeepSeek-V3","1","DeepSeek","GlobalStandard","1","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","henri-m8e841o1-swedencentral","AIServices","swedencentral","DeepSeek-R1","DeepSeek-R1","1","DeepSeek","GlobalStandard","5000","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nprd-002","AIServices","swedencentral","DeepSeek-R1","DeepSeek-R1","1","DeepSeek","GlobalStandard","5000","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nprd-002","AIServices","swedencentral","gpt-4o","gpt-4o","2024-11-20","OpenAI","DataZoneStandard","250","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","dev-ai-nprd-002","AIServices","swedencentral","mistral-document-ai-2512-eu","mistral-document-ai-2512","1","Mistral AI","DataZoneStandard","40","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","pla-we-nprd-agents-rg001","dev-ai-nrpd-ag001","AIServices","swedencentral","gpt-5-mini","gpt-5-mini","2025-08-07","OpenAI","GlobalStandard","250","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","pla-we-nprd-agents-rg001","dev-ai-nrpd-ag001","AIServices","swedencentral","gpt-5.2","gpt-5.2","2025-12-11","OpenAI","GlobalStandard","99","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","pla-we-nprd-agents-rg001","dev-ai-nrpd-ag001","AIServices","swedencentral","gpt-5.2-chat","gpt-5.2-chat","2025-12-11","OpenAI","GlobalStandard","250","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","pla-we-nprd-agents-rg001","dev-ai-nrpd-ag001","AIServices","swedencentral","gpt-5.2-2","gpt-5.2","2025-12-11","OpenAI","GlobalStandard","250","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","pla-we-nprd-prisma-rg001","hugomoreira-9276-resource","AIServices","swedencentral","gpt-4o","gpt-4o","2024-11-20","OpenAI","GlobalStandard","250","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","pla-we-nprd-prisma-rg001","hugomoreira-9276-resource","AIServices","swedencentral","gpt-5","gpt-5","2025-08-07","OpenAI","GlobalStandard","250","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","pla-we-nprd-prisma-rg001","hugomoreira-9276-resource","AIServices","swedencentral","gpt-5.2","gpt-5.2","2025-12-11","OpenAI","GlobalStandard","1055","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","pla-we-nprd-prisma-rg001","hugomoreira-9276-resource","AIServices","swedencentral","gpt-5.4-pro","gpt-5.4-pro","2026-03-05","OpenAI","GlobalStandard","800","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","deepr-lab-v001-resource","AIServices","norwayeast","o3-deep-research","o3-deep-research","2025-06-26","OpenAI","GlobalStandard","5242","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","GPT-npr-0001","deepr-lab-v001-resource","AIServices","norwayeast","mistral-document-ai-2505-eu","mistral-document-ai-2505","1","Mistral AI","DataZoneStandard","60","Succeeded","N/A","N/A"
"PLANAPP-nprd-sub001","gpt-npr-0001","henri-mi00egnr-norwayeast","AIServices","norwayeast","o3-deep-research","o3-deep-research","2025-06-26","OpenAI","GlobalStandard","250","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","GTP-npr-0001","gpt-utail-nprd-001","OpenAI","westeurope","gpt-4o-mini","gpt-4o-mini","2024-07-18","OpenAI","GlobalStandard","100","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","GTP-npr-0001","gpt-utail-nprd-001","OpenAI","westeurope","gpt-4o","gpt-4o","2024-05-13","OpenAI","GlobalStandard","30000","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","GTP-npr-0001","gpt-utail-nprd-001","OpenAI","westeurope","text-embedding-ada-002","text-embedding-ada-002","2","OpenAI","Standard","100","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","pla-we-prd-foresigh-rg001","carlo-mh3hy4t3-swedencentral","AIServices","swedencentral","gpt-5-mini","gpt-5-mini","2025-08-07","OpenAI","DataZoneStandard","250","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","pla-we-prd-foresigh-rg001","carlo-mh3hy4t3-swedencentral","AIServices","swedencentral","gpt-4.1","gpt-4.1","2025-04-14","OpenAI","GlobalStandard","27997","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","pla-we-prd-foresigh-rg001","carlo-mh3hy4t3-swedencentral","AIServices","swedencentral","gpt-4.1-avaliacao","gpt-4.1","2025-04-14","OpenAI","GlobalStandard","2003","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","pla-we-prd-foresigh-rg001","carlo-mh3hy4t3-swedencentral","AIServices","swedencentral","gpt-4o","gpt-4o","2024-11-20","OpenAI","GlobalStandard","250","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","pla-we-prd-foresigh-rg001","carlo-mh3hy4t3-swedencentral","AIServices","swedencentral","gpt-4o-mini","gpt-4o-mini","2024-07-18","OpenAI","GlobalStandard","10000","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","pla-we-prd-foresigh-rg001","carlo-mh3hy4t3-swedencentral","AIServices","swedencentral","text-embedding-3-large","text-embedding-3-large","1","OpenAI","GlobalStandard","250","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","AIServices","swedencentral","claude-sonnet-4-5","claude-sonnet-4-5","20250929","Anthropic","GlobalStandard","200","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","AIServices","swedencentral","claude-opus-4-5","claude-opus-4-5","20251101","Anthropic","GlobalStandard","200","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","AIServices","swedencentral","claude-sonnet-4-5-lab","claude-sonnet-4-5","20250929","Anthropic","GlobalStandard","200","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","AIServices","swedencentral","gpt-5.2-chat","gpt-5.2-chat","2025-12-11","OpenAI","GlobalStandard","250","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","AIServices","swedencentral","gpt-4.1-mini-eu","gpt-4.1-mini","2025-04-14","OpenAI","DataZoneStandard","6686","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","AIServices","swedencentral","claude-sonnet-4-6-noneu","claude-sonnet-4-6","1","Anthropic","GlobalStandard","1041","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","AIServices","swedencentral","claude-sonnet-4-6-noneu-lab","claude-sonnet-4-6","1","Anthropic","GlobalStandard","250","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","AIServices","swedencentral","claude-haiku-4-5","claude-haiku-4-5","20251001","Anthropic","GlobalStandard","250","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","AIServices","swedencentral","claude-opus-4-6","claude-opus-4-6","1","Anthropic","GlobalStandard","1266","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","AIServices","swedencentral","claude-opus-4-6-noneu","claude-opus-4-6","1","Anthropic","GlobalStandard","734","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","AIServices","swedencentral","gpt-5.4-mini-global","gpt-5.4-mini","2026-03-17","OpenAI","GlobalStandard","3330","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","AIServices","swedencentral","claude-opus-4-7-global","claude-opus-4-7","1","Anthropic","GlobalStandard","2000","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","AIServices","swedencentral","gpt-5.5-eu","gpt-5.5","2026-04-24","OpenAI","DataZoneStandard","1111","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","AIServices","swedencentral","gpt-5.5-eu-lab","gpt-5.5","2026-04-24","OpenAI","DataZoneStandard","1111","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","AIServices","swedencentral","gpt-5.4-eu-carlos","gpt-5.4","2026-03-05","OpenAI","DataZoneStandard","1046","Succeeded","N/A","N/A"
"PLANAPP-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","AIServices","swedencentral","gpt-5.4-mini-noneu-carlos","gpt-5.4-mini","2026-03-17","OpenAI","GlobalStandard","1541","Succeeded","N/A","N/A"
